ccode;cname;year;ccode_qog;cname_qog;ccodealp;ccodecow;cname_year;ccodealp_year;lis_pr9010
36,00;Australia;1981;36;Australia;AUS;900,00;Australia 1981;AUS81;3,94
36,00;Australia;1985;36;Australia;AUS;900,00;Australia 1985;AUS85;3,97
36,00;Australia;1989;36;Australia;AUS;900,00;Australia 1989;AUS89;4,17
36,00;Australia;1995;36;Australia;AUS;900,00;Australia 1995;AUS95;4,08
36,00;Australia;2001;36;Australia;AUS;900,00;Australia 2001;AUS01;4,29
36,00;Australia;2003;36;Australia;AUS;900,00;Australia 2003;AUS03;4,29
36,00;Australia;2004;36;Australia;AUS;900,00;Australia 2004;AUS04;4,16
36,00;Australia;2008;36;Australia;AUS;900,00;Australia 2008;AUS08;4,50
36,00;Australia;2010;36;Australia;AUS;900,00;Australia 2010;AUS10;4,53
36,00;Australia;2014;36;Australia;AUS;900,00;Australia 2014;AUS14;4,27
36,00;Australia;2016;36;Australia;AUS;900,00;Australia 2016;AUS16;4,25
36,00;Australia;2018;36;Australia;AUS;900,00;Australia 2018;AUS18;4,28
40,00;Austria;1994;40;Austria;AUT;305,00;Austria 1994;AUT94;3,51
40,00;Austria;1996;40;Austria;AUT;305,00;Austria 1996;AUT96;3,24
40,00;Austria;1997;40;Austria;AUT;305,00;Austria 1997;AUT97;3,30
40,00;Austria;1998;40;Austria;AUT;305,00;Austria 1998;AUT98;3,32
40,00;Austria;1999;40;Austria;AUT;305,00;Austria 1999;AUT99;3,17
40,00;Austria;2000;40;Austria;AUT;305,00;Austria 2000;AUT00;3,15
40,00;Austria;2003;40;Austria;AUT;305,00;Austria 2003;AUT03;3,22
40,00;Austria;2004;40;Austria;AUT;305,00;Austria 2004;AUT04;3,22
40,00;Austria;2005;40;Austria;AUT;305,00;Austria 2005;AUT05;3,19
40,00;Austria;2006;40;Austria;AUT;305,00;Austria 2006;AUT06;3,25
40,00;Austria;2007;40;Austria;AUT;305,00;Austria 2007;AUT07;3,62
40,00;Austria;2008;40;Austria;AUT;305,00;Austria 2008;AUT08;3,44
40,00;Austria;2009;40;Austria;AUT;305,00;Austria 2009;AUT09;3,67
40,00;Austria;2010;40;Austria;AUT;305,00;Austria 2010;AUT10;3,48
40,00;Austria;2011;40;Austria;AUT;305,00;Austria 2011;AUT11;3,49
40,00;Austria;2012;40;Austria;AUT;305,00;Austria 2012;AUT12;3,46
40,00;Austria;2013;40;Austria;AUT;305,00;Austria 2013;AUT13;3,42
40,00;Austria;2014;40;Austria;AUT;305,00;Austria 2014;AUT14;3,38
40,00;Austria;2015;40;Austria;AUT;305,00;Austria 2015;AUT15;3,32
40,00;Austria;2016;40;Austria;AUT;305,00;Austria 2016;AUT16;3,53
40,00;Austria;2017;40;Austria;AUT;305,00;Austria 2017;AUT17;3,50
40,00;Austria;2018;40;Austria;AUT;305,00;Austria 2018;AUT18;3,43
40,00;Austria;2019;40;Austria;AUT;305,00;Austria 2019;AUT19;3,60
40,00;Austria;2020;40;Austria;AUT;305,00;Austria 2020;AUT20;3,52
40,00;Austria;2021;40;Austria;AUT;305,00;Austria 2021;AUT21;3,46
56,00;Belgium;1985;56;Belgium;BEL;211,00;Belgium 1985;BEL85;2,74
56,00;Belgium;1988;56;Belgium;BEL;211,00;Belgium 1988;BEL88;2,78
56,00;Belgium;1992;56;Belgium;BEL;211,00;Belgium 1992;BEL92;2,79
56,00;Belgium;1995;56;Belgium;BEL;211,00;Belgium 1995;BEL95;3,26
56,00;Belgium;1997;56;Belgium;BEL;211,00;Belgium 1997;BEL97;3,20
56,00;Belgium;2000;56;Belgium;BEL;211,00;Belgium 2000;BEL00;3,32
56,00;Belgium;2003;56;Belgium;BEL;211,00;Belgium 2003;BEL03;3,35
56,00;Belgium;2004;56;Belgium;BEL;211,00;Belgium 2004;BEL04;3,28
56,00;Belgium;2005;56;Belgium;BEL;211,00;Belgium 2005;BEL05;3,37
56,00;Belgium;2006;56;Belgium;BEL;211,00;Belgium 2006;BEL06;3,42
56,00;Belgium;2007;56;Belgium;BEL;211,00;Belgium 2007;BEL07;3,31
56,00;Belgium;2008;56;Belgium;BEL;211,00;Belgium 2008;BEL08;3,34
56,00;Belgium;2009;56;Belgium;BEL;211,00;Belgium 2009;BEL09;3,40
56,00;Belgium;2010;56;Belgium;BEL;211,00;Belgium 2010;BEL10;3,39
56,00;Belgium;2011;56;Belgium;BEL;211,00;Belgium 2011;BEL11;3,34
56,00;Belgium;2012;56;Belgium;BEL;211,00;Belgium 2012;BEL12;3,36
56,00;Belgium;2013;56;Belgium;BEL;211,00;Belgium 2013;BEL13;3,38
56,00;Belgium;2014;56;Belgium;BEL;211,00;Belgium 2014;BEL14;3,33
56,00;Belgium;2015;56;Belgium;BEL;211,00;Belgium 2015;BEL15;3,37
56,00;Belgium;2016;56;Belgium;BEL;211,00;Belgium 2016;BEL16;3,32
56,00;Belgium;2017;56;Belgium;BEL;211,00;Belgium 2017;BEL17;3,35
56,00;Belgium;2018;56;Belgium;BEL;211,00;Belgium 2018;BEL18;3,15
56,00;Belgium;2019;56;Belgium;BEL;211,00;Belgium 2019;BEL19;3,18
56,00;Belgium;2020;56;Belgium;BEL;211,00;Belgium 2020;BEL20;2,98
56,00;Belgium;2021;56;Belgium;BEL;211,00;Belgium 2021;BEL21;3,10
76,00;Brazil;2001;76;Brazil;BRA;140,00;Brazil 2001;BRA01;12,50
76,00;Brazil;2002;76;Brazil;BRA;140,00;Brazil 2002;BRA02;11,41
76,00;Brazil;2003;76;Brazil;BRA;140,00;Brazil 2003;BRA03;11,16
76,00;Brazil;2004;76;Brazil;BRA;140,00;Brazil 2004;BRA04;11,09
76,00;Brazil;2005;76;Brazil;BRA;140,00;Brazil 2005;BRA05;9,47
76,00;Brazil;2006;76;Brazil;BRA;140,00;Brazil 2006;BRA06;8,98
76,00;Brazil;2007;76;Brazil;BRA;140,00;Brazil 2007;BRA07;8,78
76,00;Brazil;2008;76;Brazil;BRA;140,00;Brazil 2008;BRA08;8,50
76,00;Brazil;2009;76;Brazil;BRA;140,00;Brazil 2009;BRA09;8,32
76,00;Brazil;2011;76;Brazil;BRA;140,00;Brazil 2011;BRA11;7,80
76,00;Brazil;2012;76;Brazil;BRA;140,00;Brazil 2012;BRA12;7,51
76,00;Brazil;2013;76;Brazil;BRA;140,00;Brazil 2013;BRA13;7,51
76,00;Brazil;2014;76;Brazil;BRA;140,00;Brazil 2014;BRA14;7,27
76,00;Brazil;2015;76;Brazil;BRA;140,00;Brazil 2015;BRA15;7,40
76,00;Brazil;2016;76;Brazil;BRA;140,00;Brazil 2016;BRA16;8,37
76,00;Brazil;2017;76;Brazil;BRA;140,00;Brazil 2017;BRA17;9,00
76,00;Brazil;2018;76;Brazil;BRA;140,00;Brazil 2018;BRA18;9,17
76,00;Brazil;2019;76;Brazil;BRA;140,00;Brazil 2019;BRA19;9,50
76,00;Brazil;2020;76;Brazil;BRA;140,00;Brazil 2020;BRA20;7,19
76,00;Brazil;2021;76;Brazil;BRA;140,00;Brazil 2021;BRA21;9,29
76,00;Brazil;2022;76;Brazil;BRA;140,00;Brazil 2022;BRA22;8,43
124,00;Canada;1971;124;Canada;CAN;20,00;Canada 1971;CAN71;5,00
124,00;Canada;1973;124;Canada;CAN;20,00;Canada 1973;CAN73;4,54
124,00;Canada;1975;124;Canada;CAN;20,00;Canada 1975;CAN75;4,61
124,00;Canada;1977;124;Canada;CAN;20,00;Canada 1977;CAN77;4,82
124,00;Canada;1979;124;Canada;CAN;20,00;Canada 1979;CAN79;4,69
124,00;Canada;1981;124;Canada;CAN;20,00;Canada 1981;CAN81;4,35
124,00;Canada;1982;124;Canada;CAN;20,00;Canada 1982;CAN82;4,31
124,00;Canada;1984;124;Canada;CAN;20,00;Canada 1984;CAN84;4,52
124,00;Canada;1985;124;Canada;CAN;20,00;Canada 1985;CAN85;4,36
124,00;Canada;1986;124;Canada;CAN;20,00;Canada 1986;CAN86;4,00
124,00;Canada;1987;124;Canada;CAN;20,00;Canada 1987;CAN87;4,01
124,00;Canada;1988;124;Canada;CAN;20,00;Canada 1988;CAN88;3,96
124,00;Canada;1989;124;Canada;CAN;20,00;Canada 1989;CAN89;3,83
124,00;Canada;1990;124;Canada;CAN;20,00;Canada 1990;CAN90;3,93
124,00;Canada;1991;124;Canada;CAN;20,00;Canada 1991;CAN91;4,01
124,00;Canada;1992;124;Canada;CAN;20,00;Canada 1992;CAN92;3,99
124,00;Canada;1993;124;Canada;CAN;20,00;Canada 1993;CAN93;4,00
124,00;Canada;1994;124;Canada;CAN;20,00;Canada 1994;CAN94;3,97
124,00;Canada;1995;124;Canada;CAN;20,00;Canada 1995;CAN95;3,97
124,00;Canada;1996;124;Canada;CAN;20,00;Canada 1996;CAN96;4,12
124,00;Canada;1997;124;Canada;CAN;20,00;Canada 1997;CAN97;4,18
124,00;Canada;1998;124;Canada;CAN;20,00;Canada 1998;CAN98;4,13
124,00;Canada;1999;124;Canada;CAN;20,00;Canada 1999;CAN99;4,10
124,00;Canada;2000;124;Canada;CAN;20,00;Canada 2000;CAN00;4,16
124,00;Canada;2001;124;Canada;CAN;20,00;Canada 2001;CAN01;4,19
124,00;Canada;2002;124;Canada;CAN;20,00;Canada 2002;CAN02;4,28
124,00;Canada;2003;124;Canada;CAN;20,00;Canada 2003;CAN03;4,25
124,00;Canada;2004;124;Canada;CAN;20,00;Canada 2004;CAN04;4,37
124,00;Canada;2005;124;Canada;CAN;20,00;Canada 2005;CAN05;4,27
124,00;Canada;2006;124;Canada;CAN;20,00;Canada 2006;CAN06;4,25
124,00;Canada;2007;124;Canada;CAN;20,00;Canada 2007;CAN07;4,17
124,00;Canada;2008;124;Canada;CAN;20,00;Canada 2008;CAN08;4,26
124,00;Canada;2009;124;Canada;CAN;20,00;Canada 2009;CAN09;4,28
124,00;Canada;2010;124;Canada;CAN;20,00;Canada 2010;CAN10;4,19
124,00;Canada;2011;124;Canada;CAN;20,00;Canada 2011;CAN11;4,18
124,00;Canada;2012;124;Canada;CAN;20,00;Canada 2012;CAN12;4,39
124,00;Canada;2013;124;Canada;CAN;20,00;Canada 2013;CAN13;4,54
124,00;Canada;2014;124;Canada;CAN;20,00;Canada 2014;CAN14;4,22
124,00;Canada;2015;124;Canada;CAN;20,00;Canada 2015;CAN15;4,41
124,00;Canada;2016;124;Canada;CAN;20,00;Canada 2016;CAN16;4,11
124,00;Canada;2017;124;Canada;CAN;20,00;Canada 2017;CAN17;4,17
124,00;Canada;2018;124;Canada;CAN;20,00;Canada 2018;CAN18;4,08
124,00;Canada;2019;124;Canada;CAN;20,00;Canada 2019;CAN19;3,99
152,00;Chile;1990;152;Chile;CHL;155,00;Chile 1990;CHL90;8,94
152,00;Chile;1992;152;Chile;CHL;155,00;Chile 1992;CHL92;8,35
152,00;Chile;1994;152;Chile;CHL;155,00;Chile 1994;CHL94;10,06
152,00;Chile;1996;152;Chile;CHL;155,00;Chile 1996;CHL96;9,29
152,00;Chile;1998;152;Chile;CHL;155,00;Chile 1998;CHL98;9,58
152,00;Chile;2000;152;Chile;CHL;155,00;Chile 2000;CHL00;9,56
152,00;Chile;2003;152;Chile;CHL;155,00;Chile 2003;CHL03;8,99
152,00;Chile;2006;152;Chile;CHL;155,00;Chile 2006;CHL06;8,14
152,00;Chile;2009;152;Chile;CHL;155,00;Chile 2009;CHL09;7,55
152,00;Chile;2011;152;Chile;CHL;155,00;Chile 2011;CHL11;7,31
152,00;Chile;2013;152;Chile;CHL;155,00;Chile 2013;CHL13;7,09
152,00;Chile;2015;152;Chile;CHL;155,00;Chile 2015;CHL15;6,77
152,00;Chile;2017;152;Chile;CHL;155,00;Chile 2017;CHL17;6,97
156,00;China;2002;156;China;CHN;710,00;China 2002;CHN02;6,99
156,00;China;2013;156;China;CHN;710,00;China 2013;CHN13;7,04
156,00;China;2018;156;China;CHN;710,00;China 2018;CHN18;7,84
158,00;Taiwan (Province of China);1981;158;Taiwan;TWN;713,00;Taiwan 1981;TWN81;3,29
158,00;Taiwan (Province of China);1986;158;Taiwan;TWN;713,00;Taiwan 1986;TWN86;3,21
158,00;Taiwan (Province of China);1991;158;Taiwan;TWN;713,00;Taiwan 1991;TWN91;3,35
158,00;Taiwan (Province of China);1995;158;Taiwan;TWN;713,00;Taiwan 1995;TWN95;3,61
158,00;Taiwan (Province of China);1997;158;Taiwan;TWN;713,00;Taiwan 1997;TWN97;3,62
158,00;Taiwan (Province of China);2000;158;Taiwan;TWN;713,00;Taiwan 2000;TWN00;3,68
158,00;Taiwan (Province of China);2005;158;Taiwan;TWN;713,00;Taiwan 2005;TWN05;3,96
158,00;Taiwan (Province of China);2007;158;Taiwan;TWN;713,00;Taiwan 2007;TWN07;4,16
158,00;Taiwan (Province of China);2010;158;Taiwan;TWN;713,00;Taiwan 2010;TWN10;4,37
158,00;Taiwan (Province of China);2013;158;Taiwan;TWN;713,00;Taiwan 2013;TWN13;4,12
158,00;Taiwan (Province of China);2016;158;Taiwan;TWN;713,00;Taiwan 2016;TWN16;3,96
158,00;Taiwan (Province of China);2017;158;Taiwan;TWN;713,00;Taiwan 2017;TWN17;4,01
158,00;Taiwan (Province of China);2018;158;Taiwan;TWN;713,00;Taiwan 2018;TWN18;4,07
158,00;Taiwan (Province of China);2019;158;Taiwan;TWN;713,00;Taiwan 2019;TWN19;4,01
158,00;Taiwan (Province of China);2020;158;Taiwan;TWN;713,00;Taiwan 2020;TWN20;3,93
158,00;Taiwan (Province of China);2021;158;Taiwan;TWN;713,00;Taiwan 2021;TWN21;4,00
170,00;Colombia;2001;170;Colombia;COL;100,00;Colombia 2001;COL01;12,35
170,00;Colombia;2002;170;Colombia;COL;100,00;Colombia 2002;COL02;13,76
170,00;Colombia;2003;170;Colombia;COL;100,00;Colombia 2003;COL03;11,80
170,00;Colombia;2004;170;Colombia;COL;100,00;Colombia 2004;COL04;11,90
170,00;Colombia;2005;170;Colombia;COL;100,00;Colombia 2005;COL05;11,10
170,00;Colombia;2006;170;Colombia;COL;100,00;Colombia 2006;COL06;10,56
170,00;Colombia;2007;170;Colombia;COL;100,00;Colombia 2007;COL07;14,70
170,00;Colombia;2008;170;Colombia;COL;100,00;Colombia 2008;COL08;13,22
170,00;Colombia;2009;170;Colombia;COL;100,00;Colombia 2009;COL09;11,51
170,00;Colombia;2010;170;Colombia;COL;100,00;Colombia 2010;COL10;11,45
170,00;Colombia;2011;170;Colombia;COL;100,00;Colombia 2011;COL11;10,72
170,00;Colombia;2012;170;Colombia;COL;100,00;Colombia 2012;COL12;10,84
170,00;Colombia;2013;170;Colombia;COL;100,00;Colombia 2013;COL13;10,87
170,00;Colombia;2014;170;Colombia;COL;100,00;Colombia 2014;COL14;10,55
170,00;Colombia;2015;170;Colombia;COL;100,00;Colombia 2015;COL15;9,67
170,00;Colombia;2016;170;Colombia;COL;100,00;Colombia 2016;COL16;9,40
170,00;Colombia;2017;170;Colombia;COL;100,00;Colombia 2017;COL17;8,94
170,00;Colombia;2018;170;Colombia;COL;100,00;Colombia 2018;COL18;9,14
170,00;Colombia;2019;170;Colombia;COL;100,00;Colombia 2019;COL19;10,28
170,00;Colombia;2020;170;Colombia;COL;100,00;Colombia 2020;COL20;12,04
170,00;Colombia;2021;170;Colombia;COL;100,00;Colombia 2021;COL21;10,80
170,00;Colombia;2022;170;Colombia;COL;100,00;Colombia 2022;COL22;12,95
170,00;Colombia;2023;170;Colombia;COL;100,00;Colombia 2023;COL23;11,98
203,00;Czechia;1996;203;Czech Republic;CZE;316,00;Czech Republic 1996;CZE96;2,98
203,00;Czechia;2002;203;Czech Republic;CZE;316,00;Czech Republic 2002;CZE02;2,99
203,00;Czechia;2004;203;Czech Republic;CZE;316,00;Czech Republic 2004;CZE04;3,20
203,00;Czechia;2007;203;Czech Republic;CZE;316,00;Czech Republic 2007;CZE07;2,97
203,00;Czechia;2010;203;Czech Republic;CZE;316,00;Czech Republic 2010;CZE10;3,05
203,00;Czechia;2013;203;Czech Republic;CZE;316,00;Czech Republic 2013;CZE13;3,04
203,00;Czechia;2016;203;Czech Republic;CZE;316,00;Czech Republic 2016;CZE16;3,02
208,00;Denmark;1987;208;Denmark;DNK;390,00;Denmark 1987;DNK87;3,25
208,00;Denmark;1992;208;Denmark;DNK;390,00;Denmark 1992;DNK92;2,88
208,00;Denmark;1995;208;Denmark;DNK;390,00;Denmark 1995;DNK95;2,67
208,00;Denmark;2000;208;Denmark;DNK;390,00;Denmark 2000;DNK00;2,75
208,00;Denmark;2004;208;Denmark;DNK;390,00;Denmark 2004;DNK04;2,78
208,00;Denmark;2007;208;Denmark;DNK;390,00;Denmark 2007;DNK07;2,83
208,00;Denmark;2010;208;Denmark;DNK;390,00;Denmark 2010;DNK10;2,90
208,00;Denmark;2013;208;Denmark;DNK;390,00;Denmark 2013;DNK13;2,88
208,00;Denmark;2015;208;Denmark;DNK;390,00;Denmark 2015;DNK15;3,10
208,00;Denmark;2016;208;Denmark;DNK;390,00;Denmark 2016;DNK16;3,13
208,00;Denmark;2017;208;Denmark;DNK;390,00;Denmark 2017;DNK17;3,19
208,00;Denmark;2018;208;Denmark;DNK;390,00;Denmark 2018;DNK18;3,18
208,00;Denmark;2019;208;Denmark;DNK;390,00;Denmark 2019;DNK19;3,19
208,00;Denmark;2020;208;Denmark;DNK;390,00;Denmark 2020;DNK20;3,20
208,00;Denmark;2021;208;Denmark;DNK;390,00;Denmark 2021;DNK21;3,22
208,00;Denmark;2022;208;Denmark;DNK;390,00;Denmark 2022;DNK22;3,21
214,00;Dominican Republic (the);2007;214;Dominican Republic;DOM;42,00;Dominican Republic 2007;DOM07;10,95
233,00;Estonia;2000;233;Estonia;EST;366,00;Estonia 2000;EST00;5,02
233,00;Estonia;2004;233;Estonia;EST;366,00;Estonia 2004;EST04;4,80
233,00;Estonia;2007;233;Estonia;EST;366,00;Estonia 2007;EST07;4,43
233,00;Estonia;2010;233;Estonia;EST;366,00;Estonia 2010;EST10;4,38
233,00;Estonia;2013;233;Estonia;EST;366,00;Estonia 2013;EST13;5,18
233,00;Estonia;2016;233;Estonia;EST;366,00;Estonia 2016;EST16;4,71
246,00;Finland;1987;246;Finland;FIN;375,00;Finland 1987;FIN87;2,57
246,00;Finland;1991;246;Finland;FIN;375,00;Finland 1991;FIN91;2,62
246,00;Finland;1995;246;Finland;FIN;375,00;Finland 1995;FIN95;2,58
246,00;Finland;2000;246;Finland;FIN;375,00;Finland 2000;FIN00;2,93
246,00;Finland;2004;246;Finland;FIN;375,00;Finland 2004;FIN04;3,10
246,00;Finland;2007;246;Finland;FIN;375,00;Finland 2007;FIN07;3,21
246,00;Finland;2010;246;Finland;FIN;375,00;Finland 2010;FIN10;3,17
246,00;Finland;2013;246;Finland;FIN;375,00;Finland 2013;FIN13;3,15
246,00;Finland;2016;246;Finland;FIN;375,00;Finland 2016;FIN16;3,04
250,00;France;1970;250;France (1963-);FRA;220,00;France (1963-) 1970;FRA70;4,72
250,00;France;1975;250;France (1963-);FRA;220,00;France (1963-) 1975;FRA75;4,00
250,00;France;1979;250;France (1963-);FRA;220,00;France (1963-) 1979;FRA79;3,50
250,00;France;1984;250;France (1963-);FRA;220,00;France (1963-) 1984;FRA84;3,52
250,00;France;1990;250;France (1963-);FRA;220,00;France (1963-) 1990;FRA90;3,43
250,00;France;1996;250;France (1963-);FRA;220,00;France (1963-) 1996;FRA96;3,61
250,00;France;1997;250;France (1963-);FRA;220,00;France (1963-) 1997;FRA97;3,58
250,00;France;1998;250;France (1963-);FRA;220,00;France (1963-) 1998;FRA98;3,51
250,00;France;1999;250;France (1963-);FRA;220,00;France (1963-) 1999;FRA99;3,58
250,00;France;2000;250;France (1963-);FRA;220,00;France (1963-) 2000;FRA00;3,64
250,00;France;2001;250;France (1963-);FRA;220,00;France (1963-) 2001;FRA01;3,59
250,00;France;2002;250;France (1963-);FRA;220,00;France (1963-) 2002;FRA02;3,54
250,00;France;2003;250;France (1963-);FRA;220,00;France (1963-) 2003;FRA03;3,53
250,00;France;2004;250;France (1963-);FRA;220,00;France (1963-) 2004;FRA04;3,46
250,00;France;2005;250;France (1963-);FRA;220,00;France (1963-) 2005;FRA05;3,53
250,00;France;2006;250;France (1963-);FRA;220,00;France (1963-) 2006;FRA06;3,55
250,00;France;2007;250;France (1963-);FRA;220,00;France (1963-) 2007;FRA07;3,55
250,00;France;2008;250;France (1963-);FRA;220,00;France (1963-) 2008;FRA08;3,58
250,00;France;2009;250;France (1963-);FRA;220,00;France (1963-) 2009;FRA09;3,62
250,00;France;2010;250;France (1963-);FRA;220,00;France (1963-) 2010;FRA10;3,69
250,00;France;2011;250;France (1963-);FRA;220,00;France (1963-) 2011;FRA11;3,73
250,00;France;2012;250;France (1963-);FRA;220,00;France (1963-) 2012;FRA12;3,71
250,00;France;2013;250;France (1963-);FRA;220,00;France (1963-) 2013;FRA13;3,60
250,00;France;2014;250;France (1963-);FRA;220,00;France (1963-) 2014;FRA14;3,59
250,00;France;2015;250;France (1963-);FRA;220,00;France (1963-) 2015;FRA15;3,60
250,00;France;2016;250;France (1963-);FRA;220,00;France (1963-) 2016;FRA16;3,58
250,00;France;2017;250;France (1963-);FRA;220,00;France (1963-) 2017;FRA17;3,57
250,00;France;2018;250;France (1963-);FRA;220,00;France (1963-) 2018;FRA18;3,65
250,00;France;2019;250;France (1963-);FRA;220,00;France (1963-) 2019;FRA19;3,61
250,00;France;2020;250;France (1963-);FRA;220,00;France (1963-) 2020;FRA20;3,45
268,00;Georgia;2009;268;Georgia;GEO;372,00;Georgia 2009;GEO09;9,92
268,00;Georgia;2010;268;Georgia;GEO;372,00;Georgia 2010;GEO10;8,73
268,00;Georgia;2011;268;Georgia;GEO;372,00;Georgia 2011;GEO11;7,92
268,00;Georgia;2012;268;Georgia;GEO;372,00;Georgia 2012;GEO12;6,57
268,00;Georgia;2013;268;Georgia;GEO;372,00;Georgia 2013;GEO13;6,41
268,00;Georgia;2014;268;Georgia;GEO;372,00;Georgia 2014;GEO14;6,66
268,00;Georgia;2015;268;Georgia;GEO;372,00;Georgia 2015;GEO15;6,07
268,00;Georgia;2016;268;Georgia;GEO;372,00;Georgia 2016;GEO16;6,56
268,00;Georgia;2017;268;Georgia;GEO;372,00;Georgia 2017;GEO17;7,54
268,00;Georgia;2018;268;Georgia;GEO;372,00;Georgia 2018;GEO18;5,96
268,00;Georgia;2019;268;Georgia;GEO;372,00;Georgia 2019;GEO19;6,00
268,00;Georgia;2020;268;Georgia;GEO;372,00;Georgia 2020;GEO20;5,41
268,00;Georgia;2021;268;Georgia;GEO;372,00;Georgia 2021;GEO21;5,21
276,00;Germany;1991;276;Germany;DEU;255,00;Germany 1991;DEU91;3,38
276,00;Germany;1992;276;Germany;DEU;255,00;Germany 1992;DEU92;3,27
276,00;Germany;1993;276;Germany;DEU;255,00;Germany 1993;DEU93;3,11
276,00;Germany;1994;276;Germany;DEU;255,00;Germany 1994;DEU94;3,28
276,00;Germany;1995;276;Germany;DEU;255,00;Germany 1995;DEU95;3,20
276,00;Germany;1996;276;Germany;DEU;255,00;Germany 1996;DEU96;3,07
276,00;Germany;1997;276;Germany;DEU;255,00;Germany 1997;DEU97;3,07
276,00;Germany;1998;276;Germany;DEU;255,00;Germany 1998;DEU98;3,07
276,00;Germany;1999;276;Germany;DEU;255,00;Germany 1999;DEU99;3,20
276,00;Germany;2000;276;Germany;DEU;255,00;Germany 2000;DEU00;3,19
276,00;Germany;2001;276;Germany;DEU;255,00;Germany 2001;DEU01;3,25
276,00;Germany;2002;276;Germany;DEU;255,00;Germany 2002;DEU02;3,29
276,00;Germany;2003;276;Germany;DEU;255,00;Germany 2003;DEU03;3,26
276,00;Germany;2004;276;Germany;DEU;255,00;Germany 2004;DEU04;3,31
276,00;Germany;2005;276;Germany;DEU;255,00;Germany 2005;DEU05;3,56
276,00;Germany;2006;276;Germany;DEU;255,00;Germany 2006;DEU06;3,51
276,00;Germany;2007;276;Germany;DEU;255,00;Germany 2007;DEU07;3,46
276,00;Germany;2008;276;Germany;DEU;255,00;Germany 2008;DEU08;3,52
276,00;Germany;2009;276;Germany;DEU;255,00;Germany 2009;DEU09;3,57
276,00;Germany;2010;276;Germany;DEU;255,00;Germany 2010;DEU10;3,62
276,00;Germany;2011;276;Germany;DEU;255,00;Germany 2011;DEU11;3,49
276,00;Germany;2012;276;Germany;DEU;255,00;Germany 2012;DEU12;3,63
276,00;Germany;2013;276;Germany;DEU;255,00;Germany 2013;DEU13;3,58
276,00;Germany;2014;276;Germany;DEU;255,00;Germany 2014;DEU14;3,69
276,00;Germany;2015;276;Germany;DEU;255,00;Germany 2015;DEU15;3,68
276,00;Germany;2016;276;Germany;DEU;255,00;Germany 2016;DEU16;3,71
276,00;Germany;2017;276;Germany;DEU;255,00;Germany 2017;DEU17;3,76
276,00;Germany;2018;276;Germany;DEU;255,00;Germany 2018;DEU18;3,67
276,00;Germany;2019;276;Germany;DEU;255,00;Germany 2019;DEU19;3,79
276,00;Germany;2020;276;Germany;DEU;255,00;Germany 2020;DEU20;3,84
;Germany;1973;280;Germany, West;DEU;;Germany, West 1973;DEU73;3,23
;Germany;1978;280;Germany, West;DEU;;Germany, West 1978;DEU78;3,07
;Germany;1983;280;Germany, West;DEU;;Germany, West 1983;DEU83;3,11
;Germany;1984;280;Germany, West;DEU;;Germany, West 1984;DEU84;3,11
;Germany;1985;280;Germany, West;DEU;;Germany, West 1985;DEU85;3,07
;Germany;1986;280;Germany, West;DEU;;Germany, West 1986;DEU86;3,00
;Germany;1987;280;Germany, West;DEU;;Germany, West 1987;DEU87;3,01
;Germany;1988;280;Germany, West;DEU;;Germany, West 1988;DEU88;3,03
;Germany;1989;280;Germany, West;DEU;;Germany, West 1989;DEU89;3,00
;Germany;1990;280;Germany, West;DEU;;Germany, West 1990;DEU90;3,14
300,00;Greece;1995;300;Greece;GRC;350,00;Greece 1995;GRC95;5,54
300,00;Greece;2000;300;Greece;GRC;350,00;Greece 2000;GRC00;4,82
300,00;Greece;2004;300;Greece;GRC;350,00;Greece 2004;GRC04;4,42
300,00;Greece;2007;300;Greece;GRC;350,00;Greece 2007;GRC07;4,18
300,00;Greece;2010;300;Greece;GRC;350,00;Greece 2010;GRC10;4,44
300,00;Greece;2013;300;Greece;GRC;350,00;Greece 2013;GRC13;4,78
300,00;Greece;2016;300;Greece;GRC;350,00;Greece 2016;GRC16;4,38
320,00;Guatemala;2006;320;Guatemala;GTM;90,00;Guatemala 2006;GTM06;9,11
320,00;Guatemala;2011;320;Guatemala;GTM;90,00;Guatemala 2011;GTM11;10,60
320,00;Guatemala;2014;320;Guatemala;GTM;90,00;Guatemala 2014;GTM14;5,42
348,00;Hungary;1991;348;Hungary;HUN;310,00;Hungary 1991;HUN91;3,58
348,00;Hungary;1994;348;Hungary;HUN;310,00;Hungary 1994;HUN94;4,19
348,00;Hungary;1999;348;Hungary;HUN;310,00;Hungary 1999;HUN99;3,42
348,00;Hungary;2005;348;Hungary;HUN;310,00;Hungary 2005;HUN05;3,27
348,00;Hungary;2007;348;Hungary;HUN;310,00;Hungary 2007;HUN07;3,07
348,00;Hungary;2009;348;Hungary;HUN;310,00;Hungary 2009;HUN09;3,40
348,00;Hungary;2012;348;Hungary;HUN;310,00;Hungary 2012;HUN12;3,71
348,00;Hungary;2015;348;Hungary;HUN;310,00;Hungary 2015;HUN15;3,23
352,00;Iceland;2004;352;Iceland;ISL;395,00;Iceland 2004;ISL04;2,88
352,00;Iceland;2007;352;Iceland;ISL;395,00;Iceland 2007;ISL07;3,11
352,00;Iceland;2010;352;Iceland;ISL;395,00;Iceland 2010;ISL10;2,78
356,00;India;2004;356;India;IND;750,00;India 2004;IND04;9,42
